2015-03-21T23:07:20.821+0800 I COMMAND  [conn68] command iii-2015.$cmd command: insert { insert: "usersNonIndex", documents: [ { _id: ObjectId('550d89288afb8269abf7ccb6'), i: 149362.0, username: "user149362", age: 29.0, created: new Date(1426950440634) } ], ordered: true } keyUpdates:0 writeConflicts:0 numYields:0 reslen:40 locks:{} 187ms
2015-03-21T23:07:42.979+0800 I WRITE    [conn68] insert iii-2015.usersNonIndex query: { _id: ObjectId('550d893e8afb8269abf88ab4'), i: 198000.0, username: "user198000", age: 108.0, created: new Date(1426950462776) } ninserted:1 keyUpdates:0 writeConflicts:0 numYields:0 locks:{ Global: { acquireCount: { w: 1 } }, MMAPV1Journal: { acquireCount: { w: 2 }, acquireWaitCount: { w: 1 }, timeAcquiringMicros: { w: 74 } }, Database: { acquireCount: { w: 1 } }, Collection: { acquireCount: { W: 1 } } } 202ms
2015-03-21T23:07:42.989+0800 I COMMAND  [conn68] command iii-2015.$cmd command: insert { insert: "usersNonIndex", documents: [ { _id: ObjectId('550d893e8afb8269abf88ab4'), i: 198000.0, username: "user198000", age: 108.0, created: new Date(1426950462776) } ], ordered: true } keyUpdates:0 writeConflicts:0 numYields:0 reslen:40 locks:{} 213ms
2015-03-21T23:08:28.232+0800 I STORAGE  [FileAllocator] allocating new datafile /Volumes/newSpace/iii_mongodb_demo/iii_db/iii-2015.1, filling with zeroes...
2015-03-21T23:08:28.280+0800 I STORAGE  [FileAllocator] creating directory /Volumes/newSpace/iii_mongodb_demo/iii_db/_tmp
2015-03-21T23:08:30.536+0800 I STORAGE  [FileAllocator] done allocating datafile /Volumes/newSpace/iii_mongodb_demo/iii_db/iii-2015.1, size: 128MB,  took 2.21 secs
2015-03-21T23:08:30.792+0800 I STORAGE  [conn68] MmapV1ExtentManager took 2 seconds to open: /Volumes/newSpace/iii_mongodb_demo/iii_db/iii-2015.1
2015-03-21T23:08:30.810+0800 I WRITE    [conn68] insert iii-2015.usersNonIndex query: { _id: ObjectId('550d896c8afb8269abfa06b4'), i: 295280.0, username: "user295280", age: 13.0, created: new Date(1426950508189) } ninserted:1 keyUpdates:0 writeConflicts:0 numYields:0 locks:{ Global: { acquireCount: { w: 1 } }, MMAPV1Journal: { acquireCount: { w: 2 }, acquireWaitCount: { w: 1 }, timeAcquiringMicros: { w: 17971 } }, Database: { acquireCount: { w: 1 } }, Collection: { acquireCount: { W: 1 } }, Metadata: { acquireCount: { W: 1 } } } 2621ms
2015-03-21T23:08:30.811+0800 I COMMAND  [conn68] command iii-2015.$cmd command: insert { insert: "usersNonIndex", documents: [ { _id: ObjectId('550d896c8afb8269abfa06b4'), i: 295280.0, username: "user295280", age: 13.0, created: new Date(1426950508189) } ], ordered: true } keyUpdates:0 writeConflicts:0 numYields:0 reslen:40 locks:{} 2621ms
2015-03-21T23:09:43.008+0800 I WRITE    [conn68] insert iii-2015.usersNonIndex query: { _id: ObjectId('550d89b68afb8269abfc5d99'), i: 448597.0, username: "user448597", age: 32.0, created: new Date(1426950582790) } ninserted:1 keyUpdates:0 writeConflicts:0 numYields:0 locks:{ Global: { acquireCount: { w: 1 } }, MMAPV1Journal: { acquireCount: { w: 2 }, acquireWaitCount: { w: 1 }, timeAcquiringMicros: { w: 114 } }, Database: { acquireCount: { w: 1 } }, Collection: { acquireCount: { W: 1 } } } 218ms
2015-03-21T23:09:43.119+0800 I COMMAND  [conn68] command iii-2015.$cmd command: insert { insert: "usersNonIndex", documents: [ { _id: ObjectId('550d89b68afb8269abfc5d99'), i: 448597.0, username: "user448597", age: 32.0, created: new Date(1426950582790) } ], ordered: true } keyUpdates:0 writeConflicts:0 numYields:0 reslen:40 locks:{} 329ms
2015-03-21T23:10:00.442+0800 I WRITE    [conn68] insert iii-2015.usersNonIndex query: { _id: ObjectId('550d89c88afb8269abfcf61b'), i: 487639.0, username: "user487639", age: 109.0, created: new Date(1426950600320) } ninserted:1 keyUpdates:0 writeConflicts:0 numYields:0 locks:{ Global: { acquireCount: { w: 1 } }, MMAPV1Journal: { acquireCount: { w: 2 }, acquireWaitCount: { w: 1 }, timeAcquiringMicros: { w: 121305 } }, Database: { acquireCount: { w: 1 } }, Collection: { acquireCount: { W: 1 } } } 121ms
2015-03-21T23:10:00.442+0800 I COMMAND  [conn68] command iii-2015.$cmd command: insert { insert: "usersNonIndex", documents: [ { _id: ObjectId('550d89c88afb8269abfcf61b'), i: 487639.0, username: "user487639", age: 109.0, created: new Date(1426950600320) } ], ordered: true } keyUpdates:0 writeConflicts:0 numYields:0 reslen:40 locks:{} 121ms
2015-03-21T23:10:07.437+0800 I WRITE    [conn68] insert iii-2015.usersNonIndex query: { _id: ObjectId('550d89cf8afb8269abfd24de'), i: 499610.0, username: "user499610", age: 10.0, created: new Date(1426950607294) } ninserted:1 keyUpdates:0 writeConflicts:0 numYields:0 locks:{ Global: { acquireCount: { w: 1 } }, MMAPV1Journal: { acquireCount: { w: 2 }, acquireWaitCount: { w: 1 }, timeAcquiringMicros: { w: 143601 } }, Database: { acquireCount: { w: 1 } }, Collection: { acquireCount: { W: 1 } } } 143ms
2015-03-21T23:10:07.438+0800 I COMMAND  [conn68] command iii-2015.$cmd command: insert { insert: "usersNonIndex", documents: [ { _id: ObjectId('550d89cf8afb8269abfd24de'), i: 499610.0, username: "user499610", age: 10.0, created: new Date(1426950607294) } ], ordered: true } keyUpdates:0 writeConflicts:0 numYields:0 reslen:40 locks:{} 144ms
2015-03-21T23:10:43.093+0800 I WRITE    [conn68] insert iii-2015.usersNonIndex query: { _id: ObjectId('550d89f28afb8269abfe166b'), i: 561447.0, username: "user561447", age: 59.0, created: new Date(1426950642927) } ninserted:1 keyUpdates:0 writeConflicts:0 numYields:0 locks:{ Global: { acquireCount: { w: 1 } }, MMAPV1Journal: { acquireCount: { w: 2 }, acquireWaitCount: { w: 1 }, timeAcquiringMicros: { w: 165124 } }, Database: { acquireCount: { w: 1 } }, Collection: { acquireCount: { W: 1 } } } 165ms
2015-03-21T23:10:43.143+0800 I COMMAND  [conn68] command iii-2015.$cmd command: insert { insert: "usersNonIndex", documents: [ { _id: ObjectId('550d89f28afb8269abfe166b'), i: 561447.0, username: "user561447", age: 59.0, created: new Date(1426950642927) } ], ordered: true } keyUpdates:0 writeConflicts:0 numYields:0 reslen:40 locks:{} 215ms
2015-03-21T23:11:13.027+0800 I WRITE    [conn68] insert iii-2015.usersNonIndex query: { _id: ObjectId('550d8a108afb8269abfef0d0'), i: 617356.0, username: "user617356", age: 53.0, created: new Date(1426950672844) } ninserted:1 keyUpdates:0 writeConflicts:0 numYields:0 locks:{ Global: { acquireCount: { w: 1 } }, MMAPV1Journal: { acquireCount: { w: 2 }, acquireWaitCount: { w: 1 }, timeAcquiringMicros: { w: 92 } }, Database: { acquireCount: { w: 1 } }, Collection: { acquireCount: { W: 1 } } } 182ms
2015-03-21T23:11:13.042+0800 I COMMAND  [conn68] command iii-2015.$cmd command: insert { insert: "usersNonIndex", documents: [ { _id: ObjectId('550d8a108afb8269abfef0d0'), i: 617356.0, username: "user617356", age: 53.0, created: new Date(1426950672844) } ], ordered: true } keyUpdates:0 writeConflicts:0 numYields:0 reslen:40 locks:{} 197ms
2015-03-21T23:11:14.530+0800 I WRITE    [conn68] insert iii-2015.usersNonIndex query: { _id: ObjectId('550d8a128afb8269abfef7d3'), i: 619151.0, username: "user619151", age: 41.0, created: new Date(1426950674380) } ninserted:1 keyUpdates:0 writeConflicts:0 numYields:0 locks:{ Global: { acquireCount: { w: 1 } }, MMAPV1Journal: { acquireCount: { w: 2 }, acquireWaitCount: { w: 1 }, timeAcquiringMicros: { w: 147619 } }, Database: { acquireCount: { w: 1 } }, Collection: { acquireCount: { W: 1 } } } 147ms
2015-03-21T23:11:14.600+0800 I COMMAND  [conn68] command iii-2015.$cmd command: insert { insert: "usersNonIndex", documents: [ { _id: ObjectId('550d8a128afb8269abfef7d3'), i: 619151.0, username: "user619151", age: 41.0, created: new Date(1426950674380) } ], ordered: true } keyUpdates:0 writeConflicts:0 numYields:0 reslen:40 locks:{} 217ms
2015-03-21T23:11:16.736+0800 I WRITE    [conn68] insert iii-2015.usersNonIndex query: { _id: ObjectId('550d8a148afb8269abff038f'), i: 622155.0, username: "user622155", age: 55.0, created: new Date(1426950676619) } ninserted:1 keyUpdates:0 writeConflicts:0 numYields:0 locks:{ Global: { acquireCount: { w: 1 } }, MMAPV1Journal: { acquireCount: { w: 2 }, acquireWaitCount: { w: 1 }, timeAcquiringMicros: { w: 135 } }, Database: { acquireCount: { w: 1 } }, Collection: { acquireCount: { W: 1 } } } 117ms
2015-03-21T23:11:16.736+0800 I COMMAND  [conn68] command iii-2015.$cmd command: insert { insert: "usersNonIndex", documents: [ { _id: ObjectId('550d8a148afb8269abff038f'), i: 622155.0, username: "user622155", age: 55.0, created: new Date(1426950676619) } ], ordered: true } keyUpdates:0 writeConflicts:0 numYields:0 reslen:40 locks:{} 117ms
2015-03-21T23:11:20.502+0800 I WRITE    [conn68] insert iii-2015.usersNonIndex query: { _id: ObjectId('550d8a188afb8269abff1fdd'), i: 629401.0, username: "user629401", age: 99.0, created: new Date(1426950680332) } ninserted:1 keyUpdates:0 writeConflicts:0 numYields:0 locks:{ Global: { acquireCount: { w: 1 } }, MMAPV1Journal: { acquireCount: { w: 2 }, acquireWaitCount: { w: 1 }, timeAcquiringMicros: { w: 169083 } }, Database: { acquireCount: { w: 1 } }, Collection: { acquireCount: { W: 1 } } } 169ms
2015-03-21T23:11:20.522+0800 I COMMAND  [conn68] command iii-2015.$cmd command: insert { insert: "usersNonIndex", documents: [ { _id: ObjectId('550d8a188afb8269abff1fdd'), i: 629401.0, username: "user629401", age: 99.0, created: new Date(1426950680332) } ], ordered: true } keyUpdates:0 writeConflicts:0 numYields:0 reslen:40 locks:{} 189ms
2015-03-21T23:11:43.322+0800 I WRITE    [conn68] insert iii-2015.usersNonIndex query: { _id: ObjectId('550d8a2f8afb8269abffb6d2'), i: 668046.0, username: "user668046", age: 72.0, created: new Date(1426950703128) } ninserted:1 keyUpdates:0 writeConflicts:0 numYields:0 locks:{ Global: { acquireCount: { w: 1 } }, MMAPV1Journal: { acquireCount: { w: 2 }, acquireWaitCount: { w: 1 }, timeAcquiringMicros: { w: 193364 } }, Database: { acquireCount: { w: 1 } }, Collection: { acquireCount: { W: 1 } } } 193ms
2015-03-21T23:11:43.352+0800 I COMMAND  [conn68] command iii-2015.$cmd command: insert { insert: "usersNonIndex", documents: [ { _id: ObjectId('550d8a2f8afb8269abffb6d2'), i: 668046.0, username: "user668046", age: 72.0, created: new Date(1426950703128) } ], ordered: true } keyUpdates:0 writeConflicts:0 numYields:0 reslen:40 locks:{} 223ms
2015-03-21T23:11:59.525+0800 I WRITE    [conn68] insert iii-2015.usersNonIndex query: { _id: ObjectId('550d8a3f8afb8269ab0024a6'), i: 696162.0, username: "user696162", age: 54.0, created: new Date(1426950719405) } ninserted:1 keyUpdates:0 writeConflicts:0 numYields:0 locks:{ Global: { acquireCount: { w: 1 } }, MMAPV1Journal: { acquireCount: { w: 2 }, acquireWaitCount: { w: 1 }, timeAcquiringMicros: { w: 119105 } }, Database: { acquireCount: { w: 1 } }, Collection: { acquireCount: { W: 1 } } } 119ms
2015-03-21T23:11:59.541+0800 I COMMAND  [conn68] command iii-2015.$cmd command: insert { insert: "usersNonIndex", documents: [ { _id: ObjectId('550d8a3f8afb8269ab0024a6'), i: 696162.0, username: "user696162", age: 54.0, created: new Date(1426950719405) } ], ordered: true } keyUpdates:0 writeConflicts:0 numYields:0 reslen:40 locks:{} 135ms
2015-03-21T23:12:00.751+0800 I WRITE    [conn68] insert iii-2015.usersNonIndex query: { _id: ObjectId('550d8a408afb8269ab002afa'), i: 697782.0, username: "user697782", age: 27.0, created: new Date(1426950720531) } ninserted:1 keyUpdates:0 writeConflicts:0 numYields:0 locks:{ Global: { acquireCount: { w: 1 } }, MMAPV1Journal: { acquireCount: { w: 2 }, acquireWaitCount: { w: 1 }, timeAcquiringMicros: { w: 95 } }, Database: { acquireCount: { w: 1 } }, Collection: { acquireCount: { W: 1 } } } 219ms
2015-03-21T23:12:00.789+0800 I COMMAND  [conn68] command iii-2015.$cmd command: insert { insert: "usersNonIndex", documents: [ { _id: ObjectId('550d8a408afb8269ab002afa'), i: 697782.0, username: "user697782", age: 27.0, created: new Date(1426950720531) } ], ordered: true } keyUpdates:0 writeConflicts:0 numYields:0 reslen:40 locks:{} 257ms
2015-03-21T23:12:01.000+0800 I WRITE    [conn68] insert iii-2015.usersNonIndex query: { _id: ObjectId('550d8a408afb8269ab002ba4'), i: 697952.0, username: "user697952", age: 9.0, created: new Date(1426950720861) } ninserted:1 keyUpdates:0 writeConflicts:0 numYields:0 locks:{ Global: { acquireCount: { w: 1 } }, MMAPV1Journal: { acquireCount: { w: 2 }, acquireWaitCount: { w: 1 }, timeAcquiringMicros: { w: 138803 } }, Database: { acquireCount: { w: 1 } }, Collection: { acquireCount: { W: 1 } } } 138ms
2015-03-21T23:12:01.000+0800 I COMMAND  [conn68] command iii-2015.$cmd command: insert { insert: "usersNonIndex", documents: [ { _id: ObjectId('550d8a408afb8269ab002ba4'), i: 697952.0, username: "user697952", age: 9.0, created: new Date(1426950720861) } ], ordered: true } keyUpdates:0 writeConflicts:0 numYields:0 reslen:40 locks:{} 139ms
2015-03-21T23:12:01.361+0800 I WRITE    [conn68] insert iii-2015.usersNonIndex query: { _id: ObjectId('550d8a418afb8269ab002d41'), i: 698365.0, username: "user698365", age: 64.0, created: new Date(1426950721226) } ninserted:1 keyUpdates:0 writeConflicts:0 numYields:0 locks:{ Global: { acquireCount: { w: 1 } }, MMAPV1Journal: { acquireCount: { w: 2 }, acquireWaitCount: { w: 1 }, timeAcquiringMicros: { w: 133650 } }, Database: { acquireCount: { w: 1 } }, Collection: { acquireCount: { W: 1 } } } 133ms
